YCR002c|YDL029w|ARP2 genetically interacts with CDC10
YDL029w|YAL013w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YAL013w|Lipid metabolism
YDL029w|YBL061c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YBL061c|Cell wall organization and biogenesis
YDL029w|YBL062w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YBL062w|Unknown
YDL029w|YBR023c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YBR023c|Cell wall organization and biogenesis
YDL029w|YBR171w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YBR171w|Vesicular transport
YDL029w|YBR200w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YBR200w|Cell polarity
YDL029w|YBR260c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YBR260c|Cell polarity
YDL029w|YCL037c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YCL037c|Protein synthesis
YDL029w|YCR009c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YCR009c|Cell polarity
YDL029w|YDR018c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YDR018c|Unknown
YDL029w|YDR129c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YDR129c|Cell structure
YDL029w|YDR310c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YDR310c|Chromatin/chromosome structure
YDL029w|YDR388w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YDR388w|Cell polarity
YDL029w|YDR389w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YDR389w|Cell structure
YDL029w|YEL003w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YEL003w|Cell structure
YDL029w|YEL031w|Synthetic Genetic Array: inviable double mutant, synthetic lethal
YDL029w|YEL031w|Small molecule transport
YDL029w|YER083c|Synthetic Genetic Array: inviable double mutant, synthetic lethal
